DB Instance Class,Instance Type,vCPU,ECU,Memory (GiB),PIOPS-Optimized,Network Performance
Micro instances,db.t1.micro,1,Variable,0.615,-,Very Low
Standard - Second Generation,db.m3.medium,1,3,3.75,-,Moderate
Standard - Second Generation,db.m3.large,2,6.5,7.5,-,Moderate
Standard - Second Generation,db.m3.xlarge,4,13,15,Yes,High
Standard - Second Generation,db.m3.2xlarge,8,26,30,Yes,High
Standard - First Generation,db.m1.small,1,1,1.7,-,Low
Standard - First Generation,db.m1.medium,1,2,3.75,-,Moderate
Standard - First Generation,db.m1.large,2,4,7.5,Yes,Moderate
Standard - First Generation,db.m1.xlarge,4,8,15,Yes,High
Memory optimized,db.m2.xlarge,2,6.5,17.1,-,Moderate
Memory optimized,db.m2.2xlarge,4,13,34.2,Yes,Moderate
Memory optimized,db.m2.4xlarge,8,26,68.4,Yes,High
Memory optimized,db.cr1.8xlarge,32,88,244,-,10 Gigabit
